Date,Adj Close,Close,High,Low,Open,Volume,50_MA,200_MA,365_MA,500_MA,Diff_Close
2016-07-11 00:00:00+00:00,481.41314697265625,484.6000061035156,486.7999877929688,472.1000061035156,472.1000061035156,10477166,,,,,
2016-07-12 00:00:00+00:00,481.1151123046875,484.2999877929688,488.6499938964844,481.1000061035156,486.0,6767972,,,,,-0.30001831054681816
2016-07-13 00:00:00+00:00,477.9361877441406,481.1000061035156,488.1000061035156,477.9500122070313,485.9500122070313,5855718,,,,,-3.199981689453182
2016-07-14 00:00:00+00:00,482.9032897949219,486.1000061035156,489.2999877929688,478.9500122070313,480.1000061035156,5983007,,,,,5.0
2016-07-15 00:00:00+00:00,490.7513732910156,494.0,501.7000122070313,479.6499938964844,480.0,8889558,,,,,7.899993896484375
2016-07-18 00:00:00+00:00,489.6084289550781,492.6499938964844,505.0,490.0,495.0,7463954,,,,,-1.350006103515625
2016-07-19 00:00:00+00:00,496.1676635742188,499.25,503.5,493.4500122070313,493.8999938964844,7665519,,,,,6.600006103515625
2016-07-20 00:00:00+00:00,490.8507080078125,493.8999938964844,502.4500122070313,492.4500122070313,496.2999877929688,5697901,,,,,-5.350006103515625
2016-07-21 00:00:00+00:00,488.018310546875,491.0499877929688,500.0,489.7000122070313,498.4500122070313,3658371,,,,,-2.850006103515568
2016-07-22 00:00:00+00:00,504.0686340332031,507.2000122070313,508.4500122070313,493.5,494.4500122070313,5588143,,,,,16.1500244140625
2016-07-25 00:00:00+00:00,505.85748291015625,509.0,510.9500122070313,503.3500061035156,505.5,4638151,,,,,1.7999877929686932
2016-07-26 00:00:00+00:00,500.1429748535156,503.25,513.3499755859375,502.1000061035156,506.0499877929688,6187499,,,,,-5.75
2016-07-27 00:00:00+00:00,506.9507141113281,510.1000061035156,513.0499877929688,505.5,507.75,5193425,,,,,6.850006103515625
2016-07-28 00:00:00+00:00,503.72076416015625,506.8500061035156,511.8999938964844,498.75,510.0,6338260,,,,,-3.25
2016-07-29 00:00:00+00:00,500.0933227539063,503.2000122070313,510.5,501.1000061035156,507.7999877929688,3746332,,,,,-3.649993896484318
2016-08-01 00:00:00+00:00,505.1121215820313,508.25,514.9000244140625,505.5,506.7999877929688,4748497,,,,,5.049987792968693
2016-08-02 00:00:00+00:00,490.25439453125,493.2999877929688,511.2000122070313,491.1499938964844,510.0,5251838,,,,,-14.950012207031193
2016-08-03 00:00:00+00:00,475.4464111328125,478.3999938964844,499.5,475.5,494.5,7925049,,,,,-14.899993896484432
2016-08-04 00:00:00+00:00,496.9130554199219,500.0,501.4500122070313,488.6000061035156,490.1000061035156,9476008,,,,,21.600006103515625
2016-08-05 00:00:00+00:00,513.2117919921875,516.4000244140625,518.7000122070312,502.1499938964844,507.2000122070313,6393514,,,,,16.4000244140625
2016-08-08 00:00:00+00:00,511.6216735839844,514.7999877929688,522.5999755859375,513.4000244140625,518.2000122070312,4649302,,,,,-1.60003662109375
2016-08-09 00:00:00+00:00,510.6278381347656,513.7999877929688,522.0,509.2000122070313,521.0,6015760,,,,,-1.0
2016-08-10 00:00:00+00:00,500.3417663574219,503.4500122070313,516.5,502.2999877929688,515.5999755859375,6371139,,,,,-10.349975585937443
2016-08-11 00:00:00+00:00,500.1429748535156,503.25,505.0,495.1000061035156,503.75,4112806,,,,,-0.20001220703130684
2016-08-12 00:00:00+00:00,513.6093139648438,516.7999877929688,519.5,506.1499938964844,506.8999938964844,7167435,,,,,13.54998779296875
2016-08-16 00:00:00+00:00,504.4661560058594,507.6000061035156,515.0,503.2999877929688,512.9500122070312,6034295,,,,,-9.199981689453125
2016-08-17 00:00:00+00:00,507.2488403320313,510.3999938964844,514.25,505.8500061035156,511.1000061035156,5853980,,,,,2.79998779296875
